Age,Education,Race,Sex,Hours Per Week,Salary
49, Some-college, Asian-Pac-Islander, Male,40, >50K
61, HS-grad, White, Male,40, <=50K
27, Some-college, White, Female,40, <=50K
19, Some-college, White, Male,30, <=50K
45, Assoc-voc, White, Female,40, >50K
70, Some-college, White, Male,40, <=50K
31, HS-grad, Black, Female,30, <=50K
22, Some-college, White, Male,24, <=50K
36, HS-grad, White, Female,24, <=50K
64, 11th, White, Male,40, <=50K
43, Some-college, White, Female,40, <=50K
47, Some-college, White, Female,38, <=50K
34, HS-grad, White, Female,40, <=50K
33, Bachelors, Asian-Pac-Islander, Female,40, <=50K
21, HS-grad, White, Male,35, <=50K
52, HS-grad, White, Male,45, >50K
48, HS-grad, White, Male,46, <=50K
23, Bachelors, White, Male,40, <=50K
71, Some-college, Black, Male,2, <=50K
29, HS-grad, White, Male,60, <=50K
42, Bachelors, Black, Male,50, <=50K
68, 1st-4th, White, Female,20, <=50K
25, HS-grad, White, Female,40, <=50K
44, Masters, Asian-Pac-Islander, Female,40, <=50K
28, HS-grad, Asian-Pac-Islander, Female,40, <=50K
45, Masters, White, Male,40, >50K
36, Some-college, White, Female,40, <=50K
39, Assoc-acdm, White, Male,42, <=50K
46, Masters, White, Male,40, <=50K
18, 11th, White, Male,16, <=50K
66, Assoc-voc, White, Female,20, <=50K
27, HS-grad, White, Male,40, <=50K
28, HS-grad, White, Male,40, <=50K
51, Some-college, White, Male,40, >50K
27, Bachelors, White, Male,50, <=50K
28, Bachelors, White, Male,40, >50K
27, HS-grad, White, Female,25, <=50K
21, HS-grad, Black, Male,40, <=50K
34, HS-grad, Black, Male,40, <=50K
18, HS-grad, White, Male,12, <=50K
33, Bachelors, White, Male,65, <=50K
44, Some-college, Black, Male,38, >50K
43, Some-college, White, Female,40, <=50K
30, Some-college, Black, Male,45, <=50K
40, 7th-8th, White, Male,40, >50K
37, Some-college, White, Male,42, >50K
34, HS-grad, Black, Male,40, <=50K
41, Bachelors, White, Female,40, <=50K
53, Bachelors, White, Female,50, <=50K
31, Masters, White, Female,50, <=50K
58, Doctorate, White, Male,1, >50K
38, Some-college, Black, Female,28, <=50K
24, Some-college, White, Male,40, <=50K
41, Bachelors, Black, Male,40, <=50K
47, Some-college, White, Male,45, <=50K
41, Bachelors, White, Male,24, <=50K
23, 5th-6th, White, Male,40, <=50K
36, Some-college, White, Male,40, <=50K
40, Masters, White, Female,55, >50K
35, Masters, White, Male,40, >50K
24, HS-grad, White, Male,40, <=50K
26, Masters, White, Female,40, <=50K
19, HS-grad, White, Male,40, <=50K
51, Bachelors, White, Male,50, >50K
42, Some-college, White, Female,40, <=50K
37, HS-grad, White, Female,35, <=50K
18, 11th, White, Female,40, <=50K
36, Bachelors, Black, Male,36, >50K
35, HS-grad, White, Male,60, <=50K
58, HS-grad, White, Female,35, >50K
17, 11th, White, Female,12, <=50K
44, HS-grad, Black, Male,40, <=50K
37, HS-grad, White, Male,40, >50K
35, Some-college, Amer-Indian-Eskimo, Female,40, <=50K
60, HS-grad, Asian-Pac-Islander, Male,40, <=50K
54, 7th-8th, White, Male,40, >50K
37, Bachelors, Black, Male,60, >50K
50, Assoc-acdm, White, Female,40, <=50K
38, Bachelors, White, Male,50, <=50K
45, Bachelors, White, Male,55, <=50K
25, 10th, White, Male,40, <=50K
31, Some-college, White, Male,40, <=50K
64, 1st-4th, White, Male,40, <=50K
90, HS-grad, Black, Male,40, <=50K
54, HS-grad, Black, Male,20, <=50K
53, Preschool, White, Female,35, <=50K
18, HS-grad, White, Female,40, <=50K
60, 10th, Amer-Indian-Eskimo, Female,10, <=50K
66, HS-grad, White, Male,50, <=50K
75, Assoc-voc, White, Female,20, <=50K
65, HS-grad, White, Female,40, <=50K
35, 11th, Black, Male,40, <=50K
41, HS-grad, Black, Female,38, <=50K
25, Some-college, White, Male,42, <=50K
33, Some-college, Other, Female,40, <=50K
28, Prof-school, White, Male,55, >50K
59, HS-grad, White, Male,40, <=50K
40, Some-college, White, Female,38, <=50K
41, Bachelors, White, Male,50, >50K
38, Masters, White, Male,70, >50K
23, HS-grad, White, Male,40, <=50K
40, Bachelors, White, Male,40, >50K
41, HS-grad, White, Female,20, <=50K
24, Assoc-acdm, White, Male,50, <=50K
20, Some-college, White, Male,20, <=50K
38, Some-college, White, Male,40, <=50K
56, HS-grad, White, Male,35, <=50K
58, HS-grad, White, Male,45, >50K
32, HS-grad, White, Female,34, <=50K
40, Assoc-acdm, White, Male,60, >50K
45, HS-grad, White, Male,40, <=50K
41, Prof-school, White, Female,40, >50K
42, Bachelors, Black, Female,40, <=50K
59, 10th, Black, Female,30, <=50K
19, Some-college, White, Male,40, <=50K
58, Some-college, White, Male,20, <=50K
42, HS-grad, Asian-Pac-Islander, Male,40, >50K
20, HS-grad, White, Female,40, <=50K
32, HS-grad, White, Female,30, <=50K
45, Assoc-voc, White, Female,45, <=50K
50, 7th-8th, White, Male,40, <=50K
36, Bachelors, White, Female,40, <=50K
45, HS-grad, White, Male,60, <=50K
17, 11th, White, Male,12, <=50K
59, Some-college, White, Male,40, <=50K
26, 11th, White, Male,40, <=50K
37, Some-college, Asian-Pac-Islander, Male,75, >50K
19, Some-college, White, Male,24, <=50K
64, HS-grad, White, Male,40, >50K
33, Bachelors, White, Female,45, <=50K
33, HS-grad, White, Female,40, >50K
61, HS-grad, White, Male,40, >50K
17, 9th, White, Male,24, <=50K
50, Masters, White, Male,98, <=50K
27, Masters, White, Male,35, <=50K
30, HS-grad, White, Female,40, <=50K
43, HS-grad, Black, Male,40, <=50K
44, Some-college, White, Male,40, >50K
35, Some-college, White, Female,40, <=50K
25, Some-college, White, Female,40, <=50K
24, Some-college, White, Female,48, >50K
22, Bachelors, White, Female,15, <=50K
42, Some-college, White, Male,40, >50K
34, Assoc-acdm, Black, Female,45, <=50K
60, Bachelors, White, Female,42, <=50K
21, HS-grad, White, Male,40, <=50K
57, Masters, White, Male,40, >50K
41, Prof-school, White, Male,60, >50K
50, Some-college, White, Male,45, <=50K
25, Bachelors, White, Female,40, <=50K
50, 7th-8th, White, Male,40, <=50K
36, Bachelors, White, Male,45, <=50K
31, HS-grad, White, Female,40, <=50K
29, Bachelors, White, Male,56, <=50K
21, Some-college, White, Male,45, <=50K
27, Bachelors, Black, Female,40, <=50K
65, HS-grad, White, Male,16, <=50K
37, Bachelors, White, Female,60, <=50K
39, Masters, Asian-Pac-Islander, Female,40, <=50K
24, HS-grad, White, Male,40, <=50K
38, HS-grad, White, Male,80, <=50K
48, Bachelors, White, Male,40, >50K
21, Some-college, Asian-Pac-Islander, Female,25, <=50K
31, HS-grad, White, Male,45, >50K
55, HS-grad, White, Male,40, >50K
24, Some-college, Asian-Pac-Islander, Female,40, <=50K
43, HS-grad, White, Female,40, <=50K
26, Assoc-acdm, White, Male,45, <=50K
46, Assoc-acdm, White, Female,33, <=50K
35, Assoc-acdm, White, Male,40, >50K
41, Some-college, White, Male,54, >50K
26, Bachelors, White, Male,40, <=50K
34, Masters, Asian-Pac-Islander, Male,35, >50K
19, Some-college, Black, Female,25, <=50K
36, Bachelors, Black, Female,40, >50K
22, Some-college, White, Male,15, <=50K
24, Some-college, White, Male,40, <=50K
77, Some-college, White, Male,40, <=50K
22, 5th-6th, White, Female,40, <=50K
29, Some-college, White, Female,40, <=50K
62, HS-grad, White, Female,24, <=50K
39, HS-grad, White, Male,40, <=50K
43, Some-college, White, Male,50, <=50K
35, HS-grad, White, Male,45, <=50K
29, 11th, White, Female,40, <=50K
76, Masters, White, Male,10, <=50K
63, HS-grad, White, Male,45, <=50K
23, Assoc-voc, Black, Female,15, <=50K
43, Some-college, White, Female,50, >50K
58, HS-grad, White, Male,40, <=50K
66, HS-grad, White, Male,55, <=50K
41, Some-college, Black, Male,45, <=50K
26, Bachelors, White, Male,40, <=50K
47, Assoc-voc, White, Male,40, <=50K
55, 10th, White, Male,40, <=50K
53, HS-grad, White, Male,40, <=50K
17, 5th-6th, White, Male,48, <=50K
30, HS-grad, White, Male,40, <=50K
49, Masters, White, Male,60, <=50K
19, HS-grad, Black, Male,30, <=50K
45, HS-grad, Black, Male,40, <=50K
26, Assoc-acdm, White, Male,40, <=50K
38, Assoc-voc, White, Male,40, >50K
36, HS-grad, White, Male,40, >50K
33, HS-grad, White, Male,20, <=50K
22, Some-college, Black, Female,40, <=50K
43, Bachelors, White, Male,42, <=50K
67, 11th, White, Male,8, <=50K
30, Assoc-voc, White, Female,40, <=50K
56, Assoc-acdm, White, Male,25, <=50K
31, Bachelors, White, Male,25, <=50K
33, Bachelors, White, Male,40, >50K
26, HS-grad, White, Male,40, <=50K
33, Bachelors, White, Male,40, >50K
46, 11th, White, Male,30, <=50K
59, Bachelors, White, Male,40, >50K
38, HS-grad, White, Male,40, >50K
65, 11th, Other, Male,40, <=50K
40, Assoc-voc, White, Male,40, >50K
42, HS-grad, White, Female,35, <=50K
26, 9th, White, Male,40, <=50K
36, 10th, White, Female,24, <=50K
62, Masters, White, Male,40, >50K
43, Bachelors, White, Male,45, <=50K
43, Bachelors, White, Male,45, >50K
22, HS-grad, White, Male,55, <=50K
28, HS-grad, White, Male,40, <=50K
56, Some-college, White, Male,45, <=50K
22, Assoc-acdm, White, Female,15, <=50K
57, Bachelors, White, Female,45, >50K
39, HS-grad, White, Female,40, <=50K
26, Some-college, White, Female,15, <=50K
17, 11th, White, Male,10, <=50K
40, Assoc-voc, White, Male,38, >50K
45, HS-grad, Black, Male,40, <=50K
44, HS-grad, Black, Male,40, <=50K
20, Some-college, White, Female,10, <=50K
33, HS-grad, White, Female,40, <=50K
23, Some-college, White, Male,40, <=50K
46, Masters, White, Male,30, <=50K
38, HS-grad, White, Male,50, <=50K
54, HS-grad, White, Male,40, <=50K
46, 5th-6th, White, Female,45, <=50K
25, Some-college, White, Male,40, <=50K
46, Some-college, White, Female,40, <=50K
36, Some-college, White, Female,40, <=50K
23, HS-grad, White, Female,25, <=50K
29, HS-grad, White, Male,40, <=50K
44, Some-college, White, Female,6, >50K
19, Some-college, White, Female,16, <=50K
19, HS-grad, White, Female,40, <=50K
35, HS-grad, White, Female,40, >50K
27, Bachelors, White, Male,50, <=50K
46, Assoc-acdm, White, Male,40, <=50K
34, Bachelors, White, Male,45, >50K
34, HS-grad, White, Female,35, <=50K
44, Some-college, White, Male,40, <=50K
45, Some-college, White, Female,40, <=50K
20, HS-grad, White, Female,35, <=50K
25, Bachelors, White, Male,55, >50K
52, Bachelors, White, Male,50, >50K
20, Some-college, White, Male,40, <=50K
28, Some-college, White, Female,40, <=50K
50, Bachelors, White, Male,40, >50K
34, Assoc-voc, White, Female,64, <=50K
28, 7th-8th, Other, Male,40, <=50K
41, Masters, White, Male,65, >50K
28, HS-grad, White, Male,40, <=50K
46, HS-grad, White, Male,25, <=50K
28, Some-college, White, Female,40, >50K
32, Some-college, White, Male,50, <=50K
41, Some-college, Black, Female,24, <=50K
24, HS-grad, Black, Female,40, <=50K
33, Some-college, White, Female,40, <=50K
46, Doctorate, White, Male,60, >50K
31, Some-college, White, Male,40, <=50K
35, 12th, White, Male,50, >50K
52, 1st-4th, White, Male,40, <=50K
30, 11th, White, Female,19, <=50K
34, 11th, Black, Male,40, <=50K
34, HS-grad, White, Female,40, <=50K
20, Some-college, White, Male,30, <=50K
17, 11th, White, Male,18, <=50K
32, Bachelors, White, Female,40, >50K
29, HS-grad, White, Male,40, <=50K
33, 10th, White, Female,35, <=50K
25, HS-grad, White, Male,60, <=50K
36, Masters, White, Male,40, <=50K
23, HS-grad, White, Male,72, <=50K
63, HS-grad, White, Male,40, >50K
47, Masters, White, Male,40, <=50K
80, HS-grad, White, Male,24, <=50K
17, 11th, White, Male,40, <=50K
40, Bachelors, White, Female,40, <=50K
30, Assoc-acdm, White, Female,25, >50K
27, Some-college, Asian-Pac-Islander, Male,40, <=50K
33, Masters, White, Male,50, >50K
34, HS-grad, Black, Male,60, <=50K
34, Some-college, White, Female,40, <=50K
23, Some-college, White, Male,40, <=50K
42, Some-college, White, Female,40, <=50K
29, Bachelors, White, Male,40, <=50K
45, HS-grad, White, Female,28, <=50K
24, HS-grad, White, Male,40, <=50K
44, Some-college, White, Male,40, >50K
27, 9th, White, Male,40, <=50K
20, Some-college, White, Male,35, <=50K
44, HS-grad, Black, Female,40, <=50K
51, HS-grad, Amer-Indian-Eskimo, Male,40, <=50K
20, HS-grad, White, Male,40, <=50K
17, 11th, White, Female,5, <=50K
19, HS-grad, Black, Female,40, <=50K
45, Some-college, White, Male,55, >50K
60, HS-grad, White, Male,40, >50K
42, Assoc-acdm, Black, Male,40, >50K
44, HS-grad, White, Female,40, >50K
40, Assoc-voc, Asian-Pac-Islander, Male,40, >50K
30, HS-grad, White, Female,40, <=50K
38, Some-college, Black, Male,50, <=50K
23, HS-grad, White, Male,60, <=50K
32, Some-college, White, Male,40, <=50K
44, Assoc-acdm, White, Male,40, <=50K
54, HS-grad, Black, Male,40, <=50K
32, Bachelors, White, Male,50, <=50K
50, 1st-4th, White, Male,40, <=50K
24, Bachelors, White, Female,20, <=50K
37, HS-grad, White, Female,60, <=50K
52, HS-grad, White, Male,40, <=50K
38, Some-college, White, Male,40, <=50K
49, Masters, White, Male,45, >50K
30, Bachelors, White, Female,16, >50K
60, Some-college, White, Male,40, >50K
22, Some-college, White, Male,40, <=50K
35, HS-grad, White, Male,40, <=50K
30, HS-grad, White, Male,60, <=50K
67, Assoc-voc, White, Female,24, <=50K
46, Bachelors, White, Female,40, <=50K
17, 9th, White, Male,6, <=50K
22, Some-college, White, Male,30, <=50K
27, 10th, White, Male,40, <=50K
23, HS-grad, White, Female,35, <=50K
33, Assoc-acdm, White, Male,45, <=50K
43, Some-college, White, Male,20, <=50K
28, Bachelors, White, Male,20, <=50K
41, HS-grad, White, Female,40, <=50K
52, 12th, Black, Male,40, <=50K
25, Some-college, Black, Female,20, <=50K
63, 1st-4th, White, Male,35, <=50K
59, HS-grad, White, Male,45, <=50K
45, Bachelors, White, Female,40, <=50K
38, Bachelors, White, Male,60, >50K
40, HS-grad, White, Female,35, <=50K
46, HS-grad, White, Male,40, <=50K
35, Assoc-acdm, White, Female,60, <=50K
34, HS-grad, White, Female,25, <=50K
33, Bachelors, White, Male,20, <=50K
41, HS-grad, White, Female,36, <=50K
20, Some-college, White, Male,40, <=50K
23, 5th-6th, White, Male,40, <=50K
26, Some-college, White, Female,35, <=50K
72, HS-grad, White, Male,20, <=50K
23, HS-grad, White, Male,40, <=50K
62, HS-grad, White, Male,40, <=50K
52, Some-college, White, Male,40, <=50K
58, Some-college, White, Female,42, <=50K
25, Bachelors, White, Female,40, <=50K
24, Bachelors, Black, Male,40, <=50K
19, Some-college, White, Male,8, <=50K
43, Some-college, White, Male,40, <=50K
47, HS-grad, Black, Female,40, <=50K
39, HS-grad, White, Female,40, <=50K
49, Assoc-voc, White, Male,42, <=50K
53, 5th-6th, Black, Female,30, <=50K
32, Assoc-voc, White, Male,45, <=50K
34, Some-college, White, Male,50, >50K
28, HS-grad, White, Male,45, <=50K
57, Assoc-voc, White, Female,38, <=50K
25, Some-college, Amer-Indian-Eskimo, Female,20, <=50K
20, Some-college, White, Male,24, <=50K
21, Some-college, White, Female,35, <=50K
34, Bachelors, White, Male,50, >50K
38, Bachelors, White, Male,80, >50K
50, HS-grad, White, Male,50, >50K
24, Some-college, Black, Male,50, <=50K
37, Some-college, White, Male,45, >50K
44, Some-college, White, Male,58, >50K
28, Some-college, White, Female,40, <=50K
42, Bachelors, White, Male,40, >50K
74, Some-college, White, Female,9, <=50K
38, HS-grad, White, Male,50, <=50K
44, Masters, White, Male,40, <=50K
44, 11th, Other, Female,46, <=50K
26, HS-grad, White, Male,40, <=50K
36, HS-grad, Black, Male,40, <=50K
41, Assoc-acdm, White, Female,50, >50K
67, Prof-school, White, Male,48, >50K
39, 12th, White, Male,50, <=50K
57, 1st-4th, Black, Female,30, <=50K
29, Assoc-voc, White, Male,40, <=50K
31, Bachelors, White, Female,45, <=50K
34, HS-grad, Black, Female,40, <=50K
44, Some-college, White, Male,40, <=50K
29, Doctorate, White, Male,40, <=50K
30, Some-college, White, Female,40, <=50K
27, HS-grad, White, Male,40, <=50K
27, Some-college, White, Male,50, <=50K
32, HS-grad, White, Female,45, <=50K
58, 10th, White, Female,8, <=50K
35, Some-college, White, Male,40, <=50K
21, HS-grad, White, Male,36, <=50K
28, Some-college, White, Male,40, <=50K
46, Some-college, White, Male,50, <=50K
36, HS-grad, White, Female,40, <=50K
72, 11th, White, Female,40, <=50K
35, HS-grad, Black, Female,40, <=50K
33, Assoc-voc, Black, Female,40, >50K
69, 11th, White, Female,40, <=50K
35, HS-grad, White, Male,40, <=50K
31, HS-grad, White, Female,20, <=50K
34, HS-grad, White, Female,32, <=50K
30, 11th, White, Male,40, <=50K
28, Bachelors, White, Male,55, <=50K
54, Bachelors, White, Male,35, >50K
47, Some-college, White, Male,50, >50K
24, HS-grad, Black, Female,40, <=50K
52, Bachelors, White, Male,60, >50K
20, HS-grad, Amer-Indian-Eskimo, Male,48, <=50K
43, Masters, White, Male,45, <=50K
45, 7th-8th, White, Female,40, <=50K
29, HS-grad, White, Male,35, <=50K
47, Masters, White, Male,42, <=50K
24, HS-grad, White, Male,40, <=50K
51, HS-grad, White, Male,40, <=50K
17, 11th, White, Male,12, <=50K
37, Assoc-voc, White, Male,40, >50K
27, Doctorate, White, Female,70, <=50K
29, Bachelors, White, Male,40, >50K
18, 12th, White, Male,25, <=50K
36, Assoc-acdm, White, Female,35, <=50K
58, Bachelors, White, Female,40, <=50K
26, Some-college, White, Male,45, <=50K
65, Some-college, White, Male,30, >50K
57, HS-grad, White, Male,40, >50K
59, HS-grad, White, Male,40, <=50K
27, HS-grad, White, Male,40, <=50K
31, Bachelors, White, Male,40, <=50K
21, Some-college, White, Female,24, <=50K
29, Some-college, White, Male,60, <=50K
18, 11th, White, Male,40, <=50K
52, 10th, White, Male,47, >50K
57, Bachelors, White, Male,80, <=50K
42, HS-grad, White, Male,40, <=50K
55, HS-grad, Asian-Pac-Islander, Female,40, <=50K
60, 7th-8th, White, Male,48, >50K
31, Bachelors, White, Male,40, >50K
23, Bachelors, White, Female,40, <=50K
27, HS-grad, White, Male,40, <=50K
23, Some-college, Amer-Indian-Eskimo, Female,25, <=50K
42, Prof-school, White, Male,50, >50K
25, Some-college, White, Male,40, <=50K
49, Bachelors, White, Female,45, <=50K
32, Bachelors, White, Male,40, <=50K
19, Some-college, White, Male,28, <=50K
60, 7th-8th, White, Female,40, <=50K
42, 9th, White, Male,40, <=50K
35, Assoc-acdm, White, Male,40, <=50K
48, HS-grad, Black, Female,37, <=50K
51, Masters, White, Male,40, >50K
29, HS-grad, Amer-Indian-Eskimo, Male,40, <=50K
36, HS-grad, Black, Male,40, <=50K
17, 10th, White, Female,21, <=50K
52, Masters, White, Female,60, <=50K
24, HS-grad, White, Male,40, <=50K
24, HS-grad, White, Male,50, <=50K
26, Bachelors, White, Male,40, <=50K
27, Bachelors, White, Female,20, <=50K
39, HS-grad, White, Male,60, <=50K
30, HS-grad, Black, Male,45, <=50K
50, HS-grad, White, Male,32, <=50K
52, Bachelors, White, Male,55, <=50K
46, Prof-school, White, Male,45, >50K
23, Bachelors, White, Female,20, <=50K
45, 11th, Black, Female,20, <=50K
65, 9th, Black, Female,24, <=50K
29, Assoc-voc, White, Male,55, <=50K
47, 9th, White, Male,40, <=50K
30, HS-grad, Black, Male,60, <=50K
34, HS-grad, White, Male,45, >50K
38, HS-grad, White, Male,64, <=50K
33, Some-college, White, Male,40, >50K
49, Bachelors, White, Male,26, >50K
47, Some-college, Black, Female,40, <=50K
49, 10th, Black, Female,40, <=50K
43, Some-college, White, Male,60, >50K
30, Bachelors, Black, Female,40, >50K
58, HS-grad, White, Male,60, <=50K
19, HS-grad, White, Female,14, <=50K
21, Bachelors, White, Male,40, <=50K
33, Bachelors, White, Male,60, >50K
47, 5th-6th, White, Male,50, <=50K
52, Doctorate, White, Male,60, >50K
26, HS-grad, White, Male,55, <=50K
60, HS-grad, White, Male,40, <=50K
21, Some-college, White, Male,40, <=50K
36, Some-college, White, Male,50, >50K
31, Some-college, White, Male,45, <=50K
50, Doctorate, White, Male,40, >50K
31, HS-grad, White, Female,40, <=50K
71, HS-grad, White, Male,15, <=50K
58, HS-grad, White, Male,50, <=50K
30, Bachelors, White, Male,40, >50K
20, Some-college, White, Male,20, <=50K
24, HS-grad, White, Male,50, <=50K
35, Doctorate, Asian-Pac-Islander, Male,40, >50K
38, Some-college, White, Female,45, <=50K
27, HS-grad, White, Female,32, <=50K
29, Some-college, Asian-Pac-Islander, Female,40, <=50K
70, 9th, White, Female,15, <=50K
34, HS-grad, White, Male,45, <=50K
44, 7th-8th, White, Male,35, <=50K
43, HS-grad, White, Male,40, >50K
44, 12th, Black, Male,40, >50K
35, Masters, White, Male,60, <=50K
27, Some-college, White, Male,40, <=50K
43, Masters, White, Male,38, <=50K
20, Some-college, White, Female,25, <=50K
42, Assoc-acdm, White, Female,40, >50K
27, Some-college, White, Male,40, <=50K
42, HS-grad, Black, Male,40, >50K
20, 11th, Asian-Pac-Islander, Female,40, <=50K
24, 9th, White, Male,40, <=50K
48, Some-college, White, Male,40, <=50K
17, 11th, White, Female,20, <=50K
17, 11th, White, Male,10, <=50K
33, Bachelors, White, Male,40, >50K
50, HS-grad, White, Male,50, >50K
22, HS-grad, White, Female,40, <=50K
17, 12th, White, Male,16, <=50K
32, Some-college, White, Male,40, <=50K
31, HS-grad, White, Male,45, <=50K
58, HS-grad, White, Male,50, <=50K
29, HS-grad, White, Male,48, <=50K
37, Assoc-voc, White, Male,40, >50K
34, HS-grad, White, Male,40, >50K
23, Some-college, Black, Male,40, <=50K
18, 11th, White, Female,5, <=50K
34, HS-grad, White, Female,40, <=50K
66, 7th-8th, White, Male,4, <=50K
45, Bachelors, White, Female,55, <=50K
41, Masters, White, Male,35, <=50K
26, HS-grad, White, Male,30, <=50K
54, Some-college, White, Male,40, <=50K
24, Some-college, Black, Female,45, <=50K
42, Some-college, White, Male,50, <=50K
20, Some-college, White, Male,20, <=50K
23, Bachelors, White, Female,20, <=50K
